"Genes","Scores","Type","Description"
"PDGFA","0.00003777","Peripheral","platelet derived growth factor subunit A"
"TTC26","0.00003774","Peripheral","tetratricopeptide repeat domain 26"
"WWP1","0.00003772","Peripheral","WW domain containing E3 ubiquitin protein ligase 1"
"LCP2","0.00003767","Peripheral","lymphocyte cytosolic protein 2"
"HSPA2","0.00003766","Peripheral","heat shock protein family A (Hsp70) member 2"
"AGRN","0.00003761","Peripheral","agrin"
"PPP1R14A","0.00003761","Peripheral","protein phosphatase 1 regulatory inhibitor subunit 14A"
"INSR","0.00003761","Peripheral","insulin receptor"
"PIK3CD","0.00003758","Peripheral","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
"ACOT2","0.00003757","Peripheral","acyl-CoA thioesterase 2"
"ACOT4","0.00003757","Peripheral","acyl-CoA thioesterase 4"
"CRBN","0.00003756","Peripheral","cereblon"
"CSK","0.00003753","Peripheral","C-terminal Src kinase"
"TEC","0.00003752","Peripheral","tec protein tyrosine kinase"
"TTC30B","0.00003747","Peripheral","tetratricopeptide repeat domain 30B"
"MAG","0.00003745","Peripheral","myelin associated glycoprotein"
"IFT46","0.00003743","Peripheral","intraflagellar transport 46"
"SEC13","0.00003741","Peripheral","SEC13 homolog, nuclear pore and COPII coat complex component"
"GCNT2","0.00003738","Peripheral","glucosaminyl (N-acetyl) transferase 2 (I blood group)"
"NEDD4L","0.00003733","Peripheral","NEDD4 like E3 ubiquitin protein ligase"
"LYPD3","0.0000373","Peripheral","LY6/PLAUR domain containing 3"
"GH1","0.00003726","Peripheral","growth hormone 1"
"IFT27","0.0000372","Peripheral","intraflagellar transport 27"
"CACNA1A","0.0000372","Peripheral","calcium voltage-gated channel subunit alpha1 A"
"NEU1","0.00003709","Peripheral","neuraminidase 1"
"ACKR1","0.00003695","Peripheral","atypical chemokine receptor 1 (Duffy blood group)"
"HSPA8","0.00003694","Peripheral","heat shock protein family A (Hsp70) member 8"
"ANKRD28","0.0000369","Peripheral","ankyrin repeat domain 28"
"TRAF3IP1","0.00003688","Peripheral","TRAF3 interacting protein 1"
"COMMD1","0.00003685","Peripheral","copper metabolism domain containing 1"
"LAT","0.00003685","Peripheral","linker for activation of T cells"
"SMPD3","0.00003685","Peripheral","sphingomyelin phosphodiesterase 3"
"PDGFC","0.00003683","Peripheral","platelet derived growth factor C"
"PRNP","0.00003681","Peripheral","prion protein"
"ARAP2","0.00003675","Peripheral","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2"
"IFT22","0.00003673","Peripheral","intraflagellar transport 22"
"CACNG2","0.00003666","Peripheral","calcium voltage-gated channel auxiliary subunit gamma 2"
"CXCL3","0.0000366","Peripheral","C-X-C motif chemokine ligand 3"
"B3GALT1","0.00003655","Peripheral","beta-1,3-galactosyltransferase 1"
"HGFAC","0.00003654","Peripheral","HGF activator"
"ALK","0.00003649","Peripheral","ALK receptor tyrosine kinase"
"ARHGAP4","0.00003647","Peripheral","Rho GTPase activating protein 4"
"MAPK12","0.0000364","Peripheral","mitogen-activated protein kinase 12"
"CLUAP1","0.00003639","Peripheral","clusterin associated protein 1"
"IFT74","0.00003637","Peripheral","intraflagellar transport 74"
"UBE2N","0.00003637","Peripheral","ubiquitin conjugating enzyme E2 N"
"CD4","0.00003633","Peripheral","CD4 molecule"
"PRKCE","0.00003626","Peripheral","protein kinase C epsilon"
"CCNB3","0.00003625","Peripheral","cyclin B3"
"SLC7A11","0.00003624","Peripheral","solute carrier family 7 member 11"
"MAPK13","0.00003623","Peripheral","mitogen-activated protein kinase 13"
"CYP7A1","0.00003619","Peripheral","cytochrome P450 family 7 subfamily A member 1"
"VAV3","0.00003617","Peripheral","vav guanine nucleotide exchange factor 3"
"DNAJB11","0.00003615","Peripheral","DnaJ heat shock protein family (Hsp40) member B11"
"CDC34","0.0000361","Peripheral","cell division cycle 34, ubiqiutin conjugating enzyme"
"PRKG2","0.00003606","Peripheral","protein kinase cGMP-dependent 2"
"RNF7","0.00003605","Peripheral","ring finger protein 7"
"TRAK1","0.00003601","Peripheral","trafficking kinesin protein 1"
"HIKESHI","0.000036","Peripheral","heat shock protein nuclear import factor hikeshi"
"PIK3R3","0.00003591","Peripheral","phosphoinositide-3-kinase regulatory subunit 3"
"IFT43","0.0000359","Peripheral","intraflagellar transport 43"
"BCCIP","0.00003588","Peripheral","BRCA2 and CDKN1A interacting protein"
"IRS4","0.00003586","Peripheral","insulin receptor substrate 4"
"POT1","0.00003578","Peripheral","protection of telomeres 1"
"GLRX2","0.00003578","Peripheral","glutaredoxin 2"
"NEDD4","0.00003576","Peripheral","NEDD4 E3 ubiquitin protein ligase"
"SNX5","0.00003576","Peripheral","sorting nexin 5"
"IFT80","0.00003576","Peripheral","intraflagellar transport 80"
"POLR3C","0.00003575","Peripheral","RNA polymerase III subunit C"
"IFT81","0.00003572","Peripheral","intraflagellar transport 81"
"YBX1","0.00003569","Peripheral","Y-box binding protein 1"
"SCD","0.00003568","Peripheral","stearoyl-CoA desaturase"
"TERF2IP","0.00003566","Peripheral","TERF2 interacting protein"
"LRP8","0.00003563","Peripheral","LDL receptor related protein 8"
"DUOX1","0.00003563","Peripheral","dual oxidase 1"
"IFT52","0.0000356","Peripheral","intraflagellar transport 52"
"PROKR2","0.00003553","Peripheral","prokineticin receptor 2"
"ITGA2","0.00003552","Peripheral","integrin subunit alpha 2"
"RHOB","0.0000355","Peripheral","ras homolog family member B"
"KAT5","0.00003542","Peripheral","lysine acetyltransferase 5"
"POLR3A","0.00003541","Peripheral","RNA polymerase III subunit A"
"ETV6","0.0000354","Peripheral","ETS variant transcription factor 6"
"WDR35","0.00003538","Peripheral","WD repeat domain 35"
"NGF","0.00003536","Peripheral","nerve growth factor"
"ARHGEF1","0.00003532","Peripheral","Rho guanine nucleotide exchange factor 1"
"CNGA2","0.00003532","Peripheral","cyclic nucleotide gated channel subunit alpha 2"
"UNC5A","0.00003531","Peripheral","unc-5 netrin receptor A"
"IQGAP1","0.00003529","Peripheral","IQ motif containing GTPase activating protein 1"
"HSP90B1","0.00003527","Peripheral","heat shock protein 90 beta family member 1"
"FCRL3","0.00003526","Peripheral","Fc receptor like 3"
"IFT20","0.00003521","Peripheral","intraflagellar transport 20"
"SH2B2","0.00003507","Peripheral","SH2B adaptor protein 2"
"ATP5F1D","0.00003503","Peripheral","ATP synthase F1 subunit delta"
"CFL1","0.00003502","Core","cofilin 1"
"JAM2","0.000035","Peripheral","junctional adhesion molecule 2"
"EPHA5","0.00003495","Peripheral","EPH receptor A5"
"IFT140","0.00003494","Peripheral","intraflagellar transport 140"
"CDK9","0.00003491","Peripheral","cyclin dependent kinase 9"
"HSPA12B","0.00003488","Peripheral","heat shock protein family A (Hsp70) member 12B"
"NCOA1","0.00003487","Peripheral","nuclear receptor coactivator 1"
"TRIO","0.00003477","Peripheral","trio Rho guanine nucleotide exchange factor"
"CACNA1C","0.00003472","Peripheral","calcium voltage-gated channel subunit alpha1 C"
"NCOA2","0.00003469","Peripheral","nuclear receptor coactivator 2"
"PTP4A1","0.00003466","Peripheral","protein tyrosine phosphatase 4A1"
"NRK","0.00003465","Peripheral","Nik related kinase"
"WASL","0.0000346","Peripheral","WASP like actin nucleation promoting factor"
"HSPA12A","0.00003458","Peripheral","heat shock protein family A (Hsp70) member 12A"
"TNP1","0.00003457","Peripheral","transition protein 1"
"CAND1","0.00003457","Peripheral","cullin associated and neddylation dissociated 1"
"UQCRC1","0.00003456","Peripheral","ubiquinol-cytochrome c reductase core protein 1"
"ELOC","0.00003454","Peripheral","elongin C"
"HSPB11","0.00003452","Peripheral","heat shock protein family B (small) member 11"
"TTC21B","0.00003452","Peripheral","tetratricopeptide repeat domain 21B"
"LIMK2","0.0000345","Peripheral","LIM domain kinase 2"
"BAG3","0.00003448","Peripheral","BAG cochaperone 3"
"GNAQ","0.00003446","Peripheral","G protein subunit alpha q"
"HSPH1","0.00003444","Peripheral","heat shock protein family H (Hsp110) member 1"
"RAD51AP1","0.00003443","Peripheral","RAD51 associated protein 1"
"EPHA6","0.00003437","Peripheral","EPH receptor A6"
"SND1","0.00003437","Peripheral","staphylococcal nuclease and tudor domain containing 1"
"TRIM24","0.00003437","Peripheral","tripartite motif containing 24"
"ITGAE","0.0000343","Peripheral","integrin subunit alpha E"
"TINF2","0.00003425","Peripheral","TERF1 interacting nuclear factor 2"
"ARHGEF11","0.00003418","Peripheral","Rho guanine nucleotide exchange factor 11"
"LPAR2","0.00003417","Peripheral","lysophosphatidic acid receptor 2"
"KPNA2","0.00003414","Peripheral","karyopherin subunit alpha 2"
"ZRANB1","0.00003409","Peripheral","zinc finger RANBP2-type containing 1"
"A2M","0.00003408","Peripheral","alpha-2-macroglobulin"
"CREB5","0.00003406","Peripheral","cAMP responsive element binding protein 5"
"AEN","0.00003406","Peripheral","apoptosis enhancing nuclease"
"CFLAR","0.00003405","Peripheral","CASP8 and FADD like apoptosis regulator"
"SMPD2","0.00003404","Peripheral","sphingomyelin phosphodiesterase 2"
"IFT57","0.00003403","Peripheral","intraflagellar transport 57"
"GLA","0.00003389","Peripheral","galactosidase alpha"
"KIF3C","0.00003388","Peripheral","kinesin family member 3C"
"SNX2","0.00003387","Peripheral","sorting nexin 2"
"FURIN","0.00003387","Peripheral","furin, paired basic amino acid cleaving enzyme"
"MYO1C","0.00003383","Peripheral","myosin IC"
"GMPPA","0.00003382","Peripheral","GDP-mannose pyrophosphorylase A"
"TENT4A","0.00003379","Peripheral","terminal nucleotidyltransferase 4A"
"RNF19B","0.00003379","Peripheral","ring finger protein 19B"
"EPGN","0.00003378","Peripheral","epithelial mitogen"
"PTS","0.00003377","Peripheral","6-pyruvoyltetrahydropterin synthase"
"TNKS2","0.00003373","Peripheral","tankyrase 2"
"WDR19","0.00003372","Peripheral","WD repeat domain 19"
"RRM2","0.00003368","Peripheral","ribonucleotide reductase regulatory subunit M2"
"CD160","0.00003368","Peripheral","CD160 molecule"
"IFT122","0.00003368","Peripheral","intraflagellar transport 122"
"CHAC2","0.0000336","Peripheral","ChaC glutathione specific gamma-glutamylcyclotransferase 2"
"JAKMIP1","0.00003357","Peripheral","janus kinase and microtubule interacting protein 1"
"KDM7A","0.00003356","Peripheral","lysine demethylase 7A"
"OTULIN","0.00003355","Peripheral","OTU deubiquitinase with linear linkage specificity"
"FUT9","0.00003354","Peripheral","fucosyltransferase 9"
"SHB","0.00003354","Peripheral","SH2 domain containing adaptor protein B"
"PKN1","0.00003349","Peripheral","protein kinase N1"
"HSPA4L","0.00003348","Peripheral","heat shock protein family A (Hsp70) member 4 like"
"RHOC","0.0000334","Peripheral","ras homolog family member C"
"NGEF","0.00003338","Peripheral","neuronal guanine nucleotide exchange factor"
"CALM1","0.00003336","Peripheral","calmodulin 1"
"FUT4","0.00003335","Peripheral","fucosyltransferase 4"
"DYNC2I2","0.00003335","Peripheral","dynein 2 intermediate chain 2"
"ANXA4","0.00003327","Peripheral","annexin A4"
"PDZD3","0.00003322","Peripheral","PDZ domain containing 3"
"PPP6C","0.00003322","Peripheral","protein phosphatase 6 catalytic subunit"
"ITGA11","0.0000332","Peripheral","integrin subunit alpha 11"
"ACTN4","0.00003318","Peripheral","actinin alpha 4"
"MAP3K3","0.00003316","Peripheral","mitogen-activated protein kinase kinase kinase 3"
"CCNT1","0.00003315","Peripheral","cyclin T1"
"PALB2","0.00003312","Peripheral","partner and localizer of BRCA2"
"NGFR","0.00003308","Peripheral","nerve growth factor receptor"
"SMAD4","0.00003306","Peripheral","SMAD family member 4"
"ARAP1","0.00003304","Peripheral","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1"
"COMMD10","0.00003303","Peripheral","COMM domain containing 10"
"AGK","0.00003301","Peripheral","acylglycerol kinase"
"QKI","0.00003297","Peripheral","QKI, KH domain containing RNA binding"
"TRIM25","0.00003295","Peripheral","tripartite motif containing 25"
"AP3B1","0.00003295","Peripheral","adaptor related protein complex 3 subunit beta 1"
"ITGA10","0.00003293","Peripheral","integrin subunit alpha 10"
"ARHGAP1","0.00003293","Peripheral","Rho GTPase activating protein 1"
"ZEB1","0.00003291","Peripheral","zinc finger E-box binding homeobox 1"
"ARHGAP35","0.0000329","Peripheral","Rho GTPase activating protein 35"
"PTBP1","0.00003289","Peripheral","polypyrimidine tract binding protein 1"
"HNF1B","0.00003288","Peripheral","HNF1 homeobox B"
"RBX1","0.00003287","Peripheral","ring-box 1"
"PDIA6","0.00003285","Peripheral","protein disulfide isomerase family A member 6"
"DCUN1D2","0.00003284","Peripheral","defective in cullin neddylation 1 domain containing 2"
"PLK3","0.00003278","Peripheral","polo like kinase 3"
"DOK1","0.00003276","Peripheral","docking protein 1"
"EML4","0.00003276","Peripheral","EMAP like 4"
"RAB5A","0.00003273","Peripheral","RAB5A, member RAS oncogene family"
"GPR83","0.00003271","Peripheral","G protein-coupled receptor 83"
"UQCRFS1","0.00003269","Peripheral","ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"
"JUND","0.00003269","Peripheral","JunD proto-oncogene, AP-1 transcription factor subunit"
"CTNND2","0.00003268","Peripheral","catenin delta 2"
"EPHA4","0.00003266","Peripheral","EPH receptor A4"
"DNAJA3","0.00003261","Peripheral","DnaJ heat shock protein family (Hsp40) member A3"
"COMMD6","0.0000326","Peripheral","COMM domain containing 6"
"CHN1","0.00003256","Peripheral","chimerin 1"
"AKT2","0.00003253","Peripheral","AKT serine/threonine kinase 2"
"ROCK1","0.00003251","Peripheral","Rho associated coiled-coil containing protein kinase 1"
"IGF1","0.00003251","Peripheral","insulin like growth factor 1"
"ITGB4","0.00003248","Peripheral","integrin subunit beta 4"
"VRK2","0.00003244","Peripheral","VRK serine/threonine kinase 2"
"HSPA1L","0.00003241","Peripheral","heat shock protein family A (Hsp70) member 1 like"
"FUT3","0.0000324","Peripheral","fucosyltransferase 3 (Lewis blood group)"
"ATP5F1B","0.0000324","Peripheral","ATP synthase F1 subunit beta"
"MNAT1","0.00003239","Peripheral","MNAT1 component of CDK activating kinase"
"UGT8","0.00003238","Peripheral","UDP glycosyltransferase 8"
"DCUN1D4","0.00003237","Peripheral","defective in cullin neddylation 1 domain containing 4"
"PTPRJ","0.00003235","Peripheral","protein tyrosine phosphatase receptor type J"
"EPHA1","0.00003233","Peripheral","EPH receptor A1"
"AGTR1","0.00003232","Peripheral","angiotensin II receptor type 1"
"MYLK3","0.00003226","Peripheral","myosin light chain kinase 3"
"SPHK1","0.00003223","Peripheral","sphingosine kinase 1"
"SELE","0.00003223","Peripheral","selectin E"
"RTN4","0.00003222","Peripheral","reticulon 4"
"TSC22D3","0.00003216","Peripheral","TSC22 domain family member 3"
"TNKS","0.00003215","Peripheral","tankyrase"
"PKP4","0.00003215","Peripheral","plakophilin 4"
"ATF6B","0.00003211","Peripheral","activating transcription factor 6 beta"
"ELMO2","0.00003211","Peripheral","engulfment and cell motility 2"
"FUT1","0.0000321","Peripheral","fucosyltransferase 1 (H blood group)"
"DIAPH3","0.00003208","Peripheral","diaphanous related formin 3"
"ARHGEF2","0.00003208","Peripheral","Rho/Rac guanine nucleotide exchange factor 2"
"CUL9","0.00003208","Peripheral","cullin 9"
"FUT6","0.00003205","Peripheral","fucosyltransferase 6"
"FUT5","0.00003205","Peripheral","fucosyltransferase 5"
"COMMD8","0.00003199","Peripheral","COMM domain containing 8"
"PAG1","0.00003198","Peripheral","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"DNAJB1","0.00003188","Peripheral","DnaJ heat shock protein family (Hsp40) member B1"
"EPHA3","0.00003188","Peripheral","EPH receptor A3"
"ARHGAP5","0.00003184","Peripheral","Rho GTPase activating protein 5"
"TERF2","0.00003184","Peripheral","telomeric repeat binding factor 2"
"POLR2A","0.00003184","Peripheral","RNA polymerase II subunit A"
"GNAZ","0.00003181","Peripheral","G protein subunit alpha z"
"CCNH","0.00003181","Peripheral","cyclin H"
"ZZZ3","0.00003178","Peripheral","zinc finger ZZ-type containing 3"
"FLT1","0.00003172","Peripheral","fms related receptor tyrosine kinase 1"
"VHL","0.00003172","Peripheral","von Hippel-Lindau tumor suppressor"
"TRPM4","0.00003167","Peripheral","transient receptor potential cation channel subfamily M member 4"
"CCNE2","0.00003162","Peripheral","cyclin E2"
"VAMP2","0.00003152","Peripheral","vesicle associated membrane protein 2"
"SAE1","0.00003151","Peripheral","SUMO1 activating enzyme subunit 1"
"FXR1","0.00003151","Peripheral","FMR1 autosomal homolog 1"
"PIAS2","0.0000315","Peripheral","protein inhibitor of activated STAT 2"
"AKAP9","0.00003143","Peripheral","A-kinase anchoring protein 9"
"CIT","0.00003143","Peripheral","citron rho-interacting serine/threonine kinase"
"H3-3A","0.00003141","Peripheral","H3.3 histone A"
"EFNA2","0.00003139","Peripheral","ephrin A2"
"UPK1B","0.00003138","Peripheral","uroplakin 1B"
"UPK1A","0.00003138","Peripheral","uroplakin 1A"
"ROCK2","0.00003135","Peripheral","Rho associated coiled-coil containing protein kinase 2"
"DIAPH1","0.00003133","Peripheral","diaphanous related formin 1"
"CEBPD","0.0000313","Peripheral","CCAAT enhancer binding protein delta"
"ARFGAP3","0.00003129","Peripheral","ADP ribosylation factor GTPase activating protein 3"
"DYNC2I1","0.00003128","Peripheral","dynein 2 intermediate chain 1"
"FBH1","0.00003126","Peripheral","F-box DNA helicase 1"
"NUP62CL","0.00003126","Peripheral","nucleoporin 62 C-terminal like"
"ITGB8","0.00003122","Peripheral","integrin subunit beta 8"
"ITGA8","0.00003121","Peripheral","integrin subunit alpha 8"
"TGFBR2","0.00003114","Peripheral","transforming growth factor beta receptor 2"
"DCUN1D5","0.00003114","Peripheral","defective in cullin neddylation 1 domain containing 5"
"SLIT2","0.00003114","Peripheral","slit guidance ligand 2"
"DYNC2LI1","0.00003111","Peripheral","dynein cytoplasmic 2 light intermediate chain 1"
"PIF1","0.0000311","Peripheral","PIF1 5'-to-3' DNA helicase"
"BTLA","0.00003106","Peripheral","B and T lymphocyte associated"
"JAG1","0.00003105","Peripheral","jagged canonical Notch ligand 1"
"PPIP5K2","0.00003105","Peripheral","diphosphoinositol pentakisphosphate kinase 2"
"CCL17","0.00003104","Peripheral","C-C motif chemokine ligand 17"
"CCDC22","0.00003099","Peripheral","coiled-coil domain containing 22"
"RORB","0.00003098","Peripheral","RAR related orphan receptor B"
"GNB2","0.00003098","Peripheral","G protein subunit beta 2"
"JAM3","0.00003094","Peripheral","junctional adhesion molecule 3"
"ITGA9","0.00003093","Peripheral","integrin subunit alpha 9"
"YAP1","0.00003092","Peripheral","Yes1 associated transcriptional regulator"
"BTC","0.0000309","Peripheral","betacellulin"
"NRG1","0.00003081","Peripheral","neuregulin 1"
"PFN2","0.00003072","Peripheral","profilin 2"
"CYC1","0.00003069","Peripheral","cytochrome c1"
"TERF1","0.00003063","Peripheral","telomeric repeat binding factor 1"
"IL11RA","0.00003063","Peripheral","interleukin 11 receptor subunit alpha"
"EIF2S2","0.00003062","Peripheral","eukaryotic translation initiation factor 2 subunit beta"
"A1BG","0.00003061","Peripheral","alpha-1-B glycoprotein"
"CHAC1","0.00003061","Peripheral","ChaC glutathione specific gamma-glutamylcyclotransferase 1"
"GRAP2","0.00003051","Peripheral","GRB2 related adaptor protein 2"
"RAB14","0.00003047","Peripheral","RAB14, member RAS oncogene family"
"WNK2","0.0000304","Peripheral","WNK lysine deficient protein kinase 2"
"NEDD8","0.0000304","Peripheral","NEDD8 ubiquitin like modifier"
"SCNN1D","0.00003038","Peripheral","sodium channel epithelial 1 subunit delta"
"BIRC5","0.00003037","Peripheral","baculoviral IAP repeat containing 5"
"ARAF","0.00003037","Peripheral","A-Raf proto-oncogene, serine/threonine kinase"
"DYNLT2B","0.00003036","Peripheral","dynein light chain Tctex-type 2B"
"SLX4","0.00003035","Peripheral","SLX4 structure-specific endonuclease subunit"
"B3GALT5","0.00003032","Peripheral","beta-1,3-galactosyltransferase 5"
"CDK7","0.00003031","Peripheral","cyclin dependent kinase 7"
"ITGA3","0.00003028","Peripheral","integrin subunit alpha 3"
"LMAN1","0.00003026","Peripheral","lectin, mannose binding 1"
"ATP5F1A","0.00003014","Peripheral","ATP synthase F1 subunit alpha"
"SGK2","0.00003011","Peripheral","serum/glucocorticoid regulated kinase 2"
"GNGT1","0.0000301","Peripheral","G protein subunit gamma transducin 1"
"TNS1","0.0000301","Peripheral","tensin 1"
"ITGB5","0.00003007","Peripheral","integrin subunit beta 5"
"TUB","0.00003007","Peripheral","TUB bipartite transcription factor"
"SIVA1","0.00003006","Peripheral","SIVA1 apoptosis inducing factor"
"RPS6KA5","0.00003001","Peripheral","ribosomal protein S6 kinase A5"
"ARHGDIA","0.00003","Peripheral","Rho GDP dissociation inhibitor alpha"
"CD2","0.00002999","Peripheral","CD2 molecule"
"CDKN2A","0.00002999","Peripheral","cyclin dependent kinase inhibitor 2A"
"ZNF217","0.00002996","Peripheral","zinc finger protein 217"
"FGFR4","0.00002989","Peripheral","fibroblast growth factor receptor 4"
"TRIM8","0.00002985","Peripheral","tripartite motif containing 8"
"TIRAP","0.00002983","Peripheral","TIR domain containing adaptor protein"
"PPP1R12B","0.0000298","Peripheral","protein phosphatase 1 regulatory subunit 12B"
"FOSB","0.00002979","Peripheral","FosB proto-oncogene, AP-1 transcription factor subunit"
"EMG1","0.00002977","Peripheral","EMG1 N1-specific pseudouridine methyltransferase"
"ITGB6","0.00002976","Peripheral","integrin subunit beta 6"
"CUL7","0.00002969","Peripheral","cullin 7"
"ZNF185","0.00002969","Peripheral","zinc finger protein 185 with LIM domain"
"DHX58","0.00002969","Peripheral","DExH-box helicase 58"
"RALB","0.00002967","Peripheral","RAS like proto-oncogene B"
"TDP2","0.00002966","Peripheral","tyrosyl-DNA phosphodiesterase 2"
"OST4","0.00002962","Peripheral","oligosaccharyltransferase complex subunit 4, non-catalytic"
"ARRB1","0.00002959","Peripheral","arrestin beta 1"
"C4BPA","0.00002959","Peripheral","complement component 4 binding protein alpha"
"DAAM1","0.00002957","Peripheral","dishevelled associated activator of morphogenesis 1"
"UBA3","0.00002956","Peripheral","ubiquitin like modifier activating enzyme 3"
"DYNC2H1","0.00002955","Peripheral","dynein cytoplasmic 2 heavy chain 1"
"CD44","0.00002953","Peripheral","CD44 molecule (Indian blood group)"
"ATM","0.00002951","Peripheral","ATM serine/threonine kinase"
"VCP","0.0000295","Peripheral","valosin containing protein"
"KIF3A","0.0000295","Peripheral","kinesin family member 3A"
"GNB5","0.00002947","Peripheral","G protein subunit beta 5"
"LIPE","0.00002947","Peripheral","lipase E, hormone sensitive type"
"HTRA2","0.00002945","Peripheral","HtrA serine peptidase 2"
"EFNA5","0.00002942","Peripheral","ephrin A5"
"DAXX","0.00002942","Peripheral","death domain associated protein"
"AREL1","0.00002941","Peripheral","apoptosis resistant E3 ubiquitin protein ligase 1"
"UBE2M","0.00002936","Peripheral","ubiquitin conjugating enzyme E2 M"
"ARHGDIG","0.00002934","Peripheral","Rho GDP dissociation inhibitor gamma"
"SUOX","0.0000293","Peripheral","sulfite oxidase"
"MAP4K3","0.00002928","Peripheral","mitogen-activated protein kinase kinase kinase kinase 3"
"PEDS1-UBE2V1","0.00002928","Peripheral","PEDS1-UBE2V1 readthrough"
"RACGAP1","0.00002925","Peripheral","Rac GTPase activating protein 1"
"PHPT1","0.00002923","Peripheral","phosphohistidine phosphatase 1"
"PTMS","0.00002915","Peripheral","parathymosin"
"ARHGDIB","0.00002915","Peripheral","Rho GDP dissociation inhibitor beta"
"BRD2","0.00002914","Peripheral","bromodomain containing 2"
"RAB29","0.00002914","Peripheral","RAB29, member RAS oncogene family"
"RASGRF1","0.00002912","Peripheral","Ras protein specific guanine nucleotide releasing factor 1"
"LEF1","0.0000291","Peripheral","lymphoid enhancer binding factor 1"
"KALRN","0.00002909","Peripheral","kalirin RhoGEF kinase"
"NFKBIE","0.00002906","Peripheral","NFKB inhibitor epsilon"
"SCN4A","0.00002906","Peripheral","sodium voltage-gated channel alpha subunit 4"
"RNF19A","0.00002904","Peripheral","ring finger protein 19A, RBR E3 ubiquitin protein ligase"
"RALGDS","0.00002902","Peripheral","ral guanine nucleotide dissociation stimulator"
"GPR55","0.00002902","Peripheral","G protein-coupled receptor 55"
"DCUN1D1","0.00002899","Peripheral","defective in cullin neddylation 1 domain containing 1"
"CASP2","0.00002896","Peripheral","caspase 2"
"WRAP53","0.00002896","Peripheral","WD repeat containing antisense to TP53"
"KPNA1","0.00002894","Peripheral","karyopherin subunit alpha 1"
"RNF144A","0.00002894","Peripheral","ring finger protein 144A"
"RIMS2","0.00002892","Peripheral","regulating synaptic membrane exocytosis 2"
"DNA2","0.00002887","Peripheral","DNA replication helicase/nuclease 2"
"IP6K3","0.00002883","Peripheral","inositol hexakisphosphate kinase 3"
"MYL6","0.00002881","Peripheral","myosin light chain 6"
"SEMA4D","0.0000288","Peripheral","semaphorin 4D"
"CRADD","0.00002879","Peripheral","CASP2 and RIPK1 domain containing adaptor with death domain"
"XRCC3","0.00002878","Peripheral","X-ray repair cross complementing 3"
"RAB8A","0.00002877","Peripheral","RAB8A, member RAS oncogene family"
"EPHA2","0.00002875","Peripheral","EPH receptor A2"
"PSAP","0.00002875","Peripheral","prosaposin"
"ADAM10","0.00002873","Peripheral","ADAM metallopeptidase domain 10"
"PPIP5K1","0.00002873","Peripheral","diphosphoinositol pentakisphosphate kinase 1"
"ASAP1","0.00002872","Peripheral","ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"
"PRSS8","0.00002869","Peripheral","serine protease 8"
"MAP4K5","0.00002868","Peripheral","mitogen-activated protein kinase kinase kinase kinase 5"
"CDH1","0.00002861","Peripheral","cadherin 1"
"FLT4","0.00002855","Peripheral","fms related receptor tyrosine kinase 4"
"BUD13","0.00002855","Peripheral","BUD13 homolog"
"PIDD1","0.00002852","Peripheral","p53-induced death domain protein 1"
"TBC1D25","0.00002848","Peripheral","TBC1 domain family member 25"
"FMN1","0.00002845","Peripheral","formin 1"
"UBXN7","0.00002844","Peripheral","UBX domain protein 7"
"NSMAF","0.0000284","Peripheral","neutral sphingomyelinase activation associated factor"
"CDK1","0.0000284","Peripheral","cyclin dependent kinase 1"
"CCL13","0.00002839","Peripheral","C-C motif chemokine ligand 13"
"NLRC5","0.00002839","Peripheral","NLR family CARD domain containing 5"
"GATA4","0.00002838","Peripheral","GATA binding protein 4"
"PIM1","0.00002834","Peripheral","Pim-1 proto-oncogene, serine/threonine kinase"
"RNF14","0.00002833","Peripheral","ring finger protein 14"
"TCF7L2","0.00002831","Peripheral","transcription factor 7 like 2"
"CCL8","0.00002831","Peripheral","C-C motif chemokine ligand 8"
"PCNA","0.0000283","Peripheral","proliferating cell nuclear antigen"
"SUMO1","0.00002829","Peripheral","small ubiquitin like modifier 1"
"TICAM1","0.00002828","Peripheral","toll like receptor adaptor molecule 1"
"AREG","0.00002826","Peripheral","amphiregulin"
"SDC2","0.00002826","Peripheral","syndecan 2"
"CEP43","0.00002824","Peripheral","centrosomal protein 43"
"NCK2","0.00002823","Peripheral","NCK adaptor protein 2"
"MBIP","0.00002823","Peripheral","MAP3K12 binding inhibitory protein 1"
"GNAS","0.0000282","Peripheral","GNAS complex locus"
"SELL","0.00002814","Peripheral","selectin L"
"TIAM1","0.00002813","Peripheral","TIAM Rac1 associated GEF 1"
"PWP2","0.00002806","Peripheral","PWP2 small subunit processome component"
"DPYSL3","0.00002805","Peripheral","dihydropyrimidinase like 3"
"RMI1","0.00002802","Peripheral","RecQ mediated genome instability 1"
"PARD3","0.00002801","Peripheral","par-3 family cell polarity regulator"
"AHI1","0.00002798","Peripheral","Abelson helper integration site 1"
"TADA1","0.00002792","Peripheral","transcriptional adaptor 1"
"ARRB2","0.00002792","Peripheral","arrestin beta 2"
