Gene	Scores	Description	Evidence
PRSS53	0.7265400219749312	serine protease 53	Proximity_20000bp
ZNF646	0.7265400219749312	zinc finger protein 646	Proximity_20000bp
MAPRE1	0.7017029735989739	microtubule associated protein RP/EB family member 1	Proximity_20000bp
C5orf47	0.6989700217077992	chromosome 5 open reading frame 47	Proximity_20000bp
CPEB4	0.6989700217077992	cytoplasmic polyadenylation element binding protein 4	Proximity_20000bp
LINC02800	0.6989700217077992	long intergenic non-protein coding RNA 2800	Proximity_20000bp
CDC37	0.497222572316943	cell division cycle 37, HSP90 cochaperone	Proximity_20000bp
CD226	0.3979400217008733	CD226 molecule	Proximity_20000bp
TNFRSF18	0.5334294283351504	TNF receptor superfamily member 18	Proximity_20000bp
TTLL10	0.5334294283351504	tubulin tyrosine ligase like 10	Proximity_20000bp
PDE4A	0.497222572316943	phosphodiesterase 4A	Proximity_20000bp
BRAP	0.2989995186955001	BRCA1 associated protein	Proximity_20000bp
MIR1181	0.497222572316943	microRNA 1181	Proximity_20000bp
CCRL2	0.36489604175559176	C-C motif chemokine receptor like 2	Proximity_20000bp
CABP7	0.4554703506793283	calcium binding protein 7	Proximity_20000bp
JAZF1-AS1	0.4543877960954408	JAZF1 antisense RNA 1	Proximity_20000bp
ANTXR2	0.3979400217008733	ANTXR cell adhesion molecule 2	Proximity_20000bp
TM9SF4	0.4100790155963976	transmembrane 9 superfamily member 4	Proximity_20000bp
RIC8B	0.3979400217008733	RIC8 guanine nucleotide exchange factor B	Proximity_20000bp
ANKRD55	0.3979400217008733	ankyrin repeat domain 55	Proximity_20000bp
C17orf67	0.3979400217008733	chromosome 17 open reading frame 67	Proximity_20000bp
DGKE	0.3979400217008733	diacylglycerol kinase epsilon	Proximity_20000bp
RNU6-299P	0.3979400217008733	RNA, U6 small nuclear 299, pseudogene	Proximity_20000bp
ICAM5	0.15017715553823496	intercellular adhesion molecule 5	Proximity_20000bp
CNTF	0.0969100173510018	ciliary neurotrophic factor	Proximity_20000bp
RFX4	0.3657814233251777	regulatory factor X4	Proximity_20000bp
GBA	0.22184875830224726	glucosylceramidase beta	Proximity_20000bp
ANKRD33B	0.3289443176982587	ankyrin repeat domain 33B	Proximity_20000bp
ICAM4	0.06404865015463912	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	Proximity_20000bp
PLAU	0.22184875830224726	plasminogen activator, urokinase	Proximity_20000bp
CFL1	0.05036217685108113	cofilin 1	Proximity_20000bp
SPRED2	0.22184875830224726	sprouty related EVH1 domain containing 2	Proximity_20000bp
MTX1	0.22184875830224726	metaxin 1	Proximity_20000bp
C10orf55	0.22184875830224726	chromosome 10 putative open reading frame 55	Proximity_20000bp
CLK2	0.22184875830224726	CDC like kinase 2	Proximity_20000bp
FAM189B	0.22184875830224726	family with sequence similarity 189 member B	Proximity_20000bp
GBAP1	0.22184875830224726	glucosylceramidase beta pseudogene 1	Proximity_20000bp
SCAMP3	0.22184875830224726	secretory carrier membrane protein 3	Proximity_20000bp
THBS3	0.22184875830224726	thrombospondin 3	Proximity_20000bp
MUS81	0.0969100173510018	MUS81 structure-specific endonuclease subunit	Proximity_20000bp
FOSL1	0.0969100173510018	FOS like 1, AP-1 transcription factor subunit	Proximity_20000bp
RASGRP1	0.0974539160261303	RAS guanyl releasing protein 1	Proximity_20000bp
FIBP	0.0969100173510018	FGF1 intracellular binding protein	Proximity_20000bp
EFEMP2	0.0969100173510018	EGF containing fibulin extracellular matrix protein 2	Proximity_20000bp
CCDC85B	0.0969100173510018	coiled-coil domain containing 85B	Proximity_20000bp
CTSW	0.0969100173510018	cathepsin W	Proximity_20000bp
ZFP91	0.0969100173510018	ZFP91 zinc finger protein, atypical E3 ubiquitin ligase	Proximity_20000bp
ZFP91-CNTF	0.0969100173510018	ZFP91-CNTF readthrough (NMD candidate)	Proximity_20000bp
RNU6-979P	0.07761500520642262	RNA, U6 small nuclear 979, pseudogene	Proximity_20000bp
SLC48A1	0.0073384708388406494	solute carrier family 48 member 1	Proximity_20000bp
